Problem,Error Type,Correct Answer,Incorrect Answer
"There are 38 cookies, and they need to be divided equally among 187 friends. How many cookies does each friend get?",Division Error,0.203208556149733,0.345158856926087
"There are 9 balloons. If 103 balloons pop, how many balloons are left?",Subtraction Error,-94,5
"There are 188 apples. If you add 197 more apples, how many apples do you have?",Addition Error,385,476
"There are 172 apples. If you add 136 more apples, how many apples do you have?",Addition Error,308,356
"John has 86 boxes, and each box contains 133 chocolates. How many chocolates does he have in total?",Multiplication Error,11438,11442
"There are 47 apples. If you add 86 more apples, how many apples do you have?",Addition Error,133,220
"There are 100 balloons. If 45 balloons pop, how many balloons are left?",Subtraction Error,55,135
"There are 192 balloons. If 129 balloons pop, how many balloons are left?",Subtraction Error,63,109
"There are 20 balloons. If 147 balloons pop, how many balloons are left?",Subtraction Error,-127,-86
"There are 49 cookies, and they need to be divided equally among 78 friends. How many cookies does each friend get?",Division Error,0.628205128205128,1.02306390741218
"There are 195 apples. If you add 100 more apples, how many apples do you have?",Addition Error,295,367
"John has 99 boxes, and each box contains 27 chocolates. How many chocolates does he have in total?",Multiplication Error,2673,2681
"There are 95 balloons. If 144 balloons pop, how many balloons are left?",Subtraction Error,-49,6
"There are 188 balloons. If 145 balloons pop, how many balloons are left?",Subtraction Error,43,140
"John has 42 boxes, and each box contains 79 chocolates. How many chocolates does he have in total?",Multiplication Error,3318,3319
"There are 5 apples. If you add 153 more apples, how many apples do you have?",Addition Error,158,234
"There are 42 cookies, and they need to be divided equally among 129 friends. How many cookies does each friend get?",Division Error,0.325581395348837,0.575934309123604
"There are 193 apples. If you add 44 more apples, how many apples do you have?",Addition Error,237,332
"There are 27 balloons. If 116 balloons pop, how many balloons are left?",Subtraction Error,-89,-59
"John has 108 boxes, and each box contains 94 chocolates. How many chocolates does he have in total?",Multiplication Error,10152,10158
"There are 150 cookies, and they need to be divided equally among 127 friends. How many cookies does each friend get?",Division Error,1.18110236220472,1.57073241008493
"John has 26 boxes, and each box contains 125 chocolates. How many chocolates does he have in total?",Multiplication Error,3250,3256
"There are 84 balloons. If 171 balloons pop, how many balloons are left?",Subtraction Error,-87,-27
"There are 103 apples. If you add 47 more apples, how many apples do you have?",Addition Error,150,207
"There are 43 cookies, and they need to be divided equally among 36 friends. How many cookies does each friend get?",Division Error,1.19444444444444,1.96477110233006
"There are 105 balloons. If 138 balloons pop, how many balloons are left?",Subtraction Error,-33,67
"There are 124 apples. If you add 142 more apples, how many apples do you have?",Addition Error,266,347
"There are 66 balloons. If 135 balloons pop, how many balloons are left?",Subtraction Error,-69,-18
"There are 178 balloons. If 194 balloons pop, how many balloons are left?",Subtraction Error,-16,-3
"There are 113 cookies, and they need to be divided equally among 189 friends. How many cookies does each friend get?",Division Error,0.597883597883598,1.23631184798984
"There are 102 balloons. If 200 balloons pop, how many balloons are left?",Subtraction Error,-98,-94
"There are 99 apples. If you add 26 more apples, how many apples do you have?",Addition Error,125,170
"John has 74 boxes, and each box contains 76 chocolates. How many chocolates does he have in total?",Multiplication Error,5624,5627
"There are 143 cookies, and they need to be divided equally among 59 friends. How many cookies does each friend get?",Division Error,2.42372881355932,3.2759332087901
"There are 138 apples. If you add 155 more apples, how many apples do you have?",Addition Error,293,354
"There are 127 balloons. If 129 balloons pop, how many balloons are left?",Subtraction Error,-2,76
"There are 38 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,12.6666666666667,13.475698926808
"There are 190 cookies, and they need to be divided equally among 79 friends. How many cookies does each friend get?",Division Error,2.40506329113924,3.04213705141648
"There are 15 cookies, and they need to be divided equally among 30 friends. How many cookies does each friend get?",Division Error,0.5,0.763970119381787
"There are 27 balloons. If 151 balloons pop, how many balloons are left?",Subtraction Error,-124,-71
"There are 72 cookies, and they need to be divided equally among 132 friends. How many cookies does each friend get?",Division Error,0.545454545454545,1.16054069243088
"There are 13 cookies, and they need to be divided equally among 137 friends. How many cookies does each friend get?",Division Error,0.0948905109489051,0.359762115166146
"There are 70 balloons. If 26 balloons pop, how many balloons are left?",Subtraction Error,44,99
"There are 125 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,41.6666666666667,42.3225751223898
"There are 62 balloons. If 34 balloons pop, how many balloons are left?",Subtraction Error,28,106
"There are 102 apples. If you add 17 more apples, how many apples do you have?",Addition Error,119,154
"John has 174 boxes, and each box contains 117 chocolates. How many chocolates does he have in total?",Multiplication Error,20358,20367
"John has 40 boxes, and each box contains 156 chocolates. How many chocolates does he have in total?",Multiplication Error,6240,6250
"There are 169 apples. If you add 171 more apples, how many apples do you have?",Addition Error,340,374
"John has 112 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,1120,1129
"John has 26 boxes, and each box contains 196 chocolates. How many chocolates does he have in total?",Multiplication Error,5096,5101
"There are 184 apples. If you add 39 more apples, how many apples do you have?",Addition Error,223,289
"There are 34 apples. If you add 49 more apples, how many apples do you have?",Addition Error,83,109
"There are 36 balloons. If 172 balloons pop, how many balloons are left?",Subtraction Error,-136,-55
"There are 37 cookies, and they need to be divided equally among 134 friends. How many cookies does each friend get?",Division Error,0.276119402985075,0.868872746733098
"There are 94 cookies, and they need to be divided equally among 61 friends. How many cookies does each friend get?",Division Error,1.54098360655738,1.90651893352251
"There are 120 cookies, and they need to be divided equally among 31 friends. How many cookies does each friend get?",Division Error,3.87096774193548,4.65356273051146
"There are 77 apples. If you add 50 more apples, how many apples do you have?",Addition Error,127,171
"There are 128 balloons. If 121 balloons pop, how many balloons are left?",Subtraction Error,7,103
"There are 76 apples. If you add 56 more apples, how many apples do you have?",Addition Error,132,141
"John has 150 boxes, and each box contains 83 chocolates. How many chocolates does he have in total?",Multiplication Error,12450,12455
"There are 168 apples. If you add 133 more apples, how many apples do you have?",Addition Error,301,359
"John has 2 boxes, and each box contains 165 chocolates. How many chocolates does he have in total?",Multiplication Error,330,331
"There are 140 apples. If you add 114 more apples, how many apples do you have?",Addition Error,254,340
"John has 181 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,1448,1453
"There are 10 apples. If you add 174 more apples, how many apples do you have?",Addition Error,184,246
"There are 184 balloons. If 152 balloons pop, how many balloons are left?",Subtraction Error,32,56
"John has 6 boxes, and each box contains 65 chocolates. How many chocolates does he have in total?",Multiplication Error,390,395
"There are 194 balloons. If 88 balloons pop, how many balloons are left?",Subtraction Error,106,156
"There are 23 apples. If you add 119 more apples, how many apples do you have?",Addition Error,142,171
"There are 82 cookies, and they need to be divided equally among 96 friends. How many cookies does each friend get?",Division Error,0.854166666666667,1.20577555988941
"There are 101 apples. If you add 71 more apples, how many apples do you have?",Addition Error,172,206
"There are 21 balloons. If 167 balloons pop, how many balloons are left?",Subtraction Error,-146,-62
"There are 144 apples. If you add 167 more apples, how many apples do you have?",Addition Error,311,395
"There are 20 balloons. If 105 balloons pop, how many balloons are left?",Subtraction Error,-85,9
"John has 84 boxes, and each box contains 125 chocolates. How many chocolates does he have in total?",Multiplication Error,10500,10504
"There are 10 cookies, and they need to be divided equally among 197 friends. How many cookies does each friend get?",Division Error,0.050761421319797,0.363858903384446
"There are 159 balloons. If 90 balloons pop, how many balloons are left?",Subtraction Error,69,82
"John has 32 boxes, and each box contains 27 chocolates. How many chocolates does he have in total?",Multiplication Error,864,867
"John has 55 boxes, and each box contains 48 chocolates. How many chocolates does he have in total?",Multiplication Error,2640,2644
"John has 20 boxes, and each box contains 126 chocolates. How many chocolates does he have in total?",Multiplication Error,2520,2526
"There are 113 apples. If you add 80 more apples, how many apples do you have?",Addition Error,193,260
"There are 155 cookies, and they need to be divided equally among 24 friends. How many cookies does each friend get?",Division Error,6.45833333333333,7.26297389587171
"There are 165 apples. If you add 45 more apples, how many apples do you have?",Addition Error,210,275
"John has 49 boxes, and each box contains 48 chocolates. How many chocolates does he have in total?",Multiplication Error,2352,2354
"There are 36 apples. If you add 57 more apples, how many apples do you have?",Addition Error,93,102
"There are 90 balloons. If 50 balloons pop, how many balloons are left?",Subtraction Error,40,46
"There are 117 cookies, and they need to be divided equally among 88 friends. How many cookies does each friend get?",Division Error,1.32954545454546,1.97709445172594
"There are 41 apples. If you add 26 more apples, how many apples do you have?",Addition Error,67,78
"John has 47 boxes, and each box contains 63 chocolates. How many chocolates does he have in total?",Multiplication Error,2961,2968
"There are 111 cookies, and they need to be divided equally among 125 friends. How many cookies does each friend get?",Division Error,0.888,1.01507894199678
"There are 32 cookies, and they need to be divided equally among 92 friends. How many cookies does each friend get?",Division Error,0.347826086956522,0.906299479670051
"John has 169 boxes, and each box contains 181 chocolates. How many chocolates does he have in total?",Multiplication Error,30589,30596
"There are 140 apples. If you add 149 more apples, how many apples do you have?",Addition Error,289,326
"There are 70 apples. If you add 90 more apples, how many apples do you have?",Addition Error,160,207
"There are 93 apples. If you add 108 more apples, how many apples do you have?",Addition Error,201,299
"There are 93 apples. If you add 95 more apples, how many apples do you have?",Addition Error,188,191
"There are 80 balloons. If 87 balloons pop, how many balloons are left?",Subtraction Error,-7,36
"There are 11 cookies, and they need to be divided equally among 45 friends. How many cookies does each friend get?",Division Error,0.244444444444444,0.350075288483453
"John has 135 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,945,946
"There are 172 apples. If you add 161 more apples, how many apples do you have?",Addition Error,333,412
"There are 153 cookies, and they need to be divided equally among 153 friends. How many cookies does each friend get?",Division Error,1,1.10217058348294
"There are 87 balloons. If 68 balloons pop, how many balloons are left?",Subtraction Error,19,44
"There are 123 cookies, and they need to be divided equally among 100 friends. How many cookies does each friend get?",Division Error,1.23,1.74469415354713
"There are 155 apples. If you add 75 more apples, how many apples do you have?",Addition Error,230,252
"There are 120 apples. If you add 130 more apples, how many apples do you have?",Addition Error,250,282
"There are 66 apples. If you add 192 more apples, how many apples do you have?",Addition Error,258,266
"There are 115 cookies, and they need to be divided equally among 134 friends. How many cookies does each friend get?",Division Error,0.858208955223881,1.19638174507211
"There are 113 apples. If you add 47 more apples, how many apples do you have?",Addition Error,160,176
"John has 167 boxes, and each box contains 169 chocolates. How many chocolates does he have in total?",Multiplication Error,28223,28225
"There are 192 balloons. If 108 balloons pop, how many balloons are left?",Subtraction Error,84,121
"There are 106 cookies, and they need to be divided equally among 60 friends. How many cookies does each friend get?",Division Error,1.76666666666667,2.60721928547142
"There are 151 balloons. If 42 balloons pop, how many balloons are left?",Subtraction Error,109,139
"There are 198 cookies, and they need to be divided equally among 77 friends. How many cookies does each friend get?",Division Error,2.57142857142857,2.71791015518287
"There are 43 cookies, and they need to be divided equally among 170 friends. How many cookies does each friend get?",Division Error,0.252941176470588,0.996387734485687
"There are 29 apples. If you add 169 more apples, how many apples do you have?",Addition Error,198,289
"There are 33 apples. If you add 52 more apples, how many apples do you have?",Addition Error,85,138
"There are 102 balloons. If 91 balloons pop, how many balloons are left?",Subtraction Error,11,78
"John has 157 boxes, and each box contains 79 chocolates. How many chocolates does he have in total?",Multiplication Error,12403,12407
"John has 146 boxes, and each box contains 107 chocolates. How many chocolates does he have in total?",Multiplication Error,15622,15630
"John has 144 boxes, and each box contains 21 chocolates. How many chocolates does he have in total?",Multiplication Error,3024,3034
"There are 69 balloons. If 143 balloons pop, how many balloons are left?",Subtraction Error,-74,-2
"John has 15 boxes, and each box contains 21 chocolates. How many chocolates does he have in total?",Multiplication Error,315,320
"There are 113 balloons. If 178 balloons pop, how many balloons are left?",Subtraction Error,-65,-35
"There are 77 cookies, and they need to be divided equally among 195 friends. How many cookies does each friend get?",Division Error,0.394871794871795,1.07279872404653
"There are 120 cookies, and they need to be divided equally among 85 friends. How many cookies does each friend get?",Division Error,1.41176470588235,2.00801975113512
"There are 97 apples. If you add 183 more apples, how many apples do you have?",Addition Error,280,300
"There are 66 apples. If you add 169 more apples, how many apples do you have?",Addition Error,235,238
"There are 162 balloons. If 86 balloons pop, how many balloons are left?",Subtraction Error,76,140
"There are 125 apples. If you add 135 more apples, how many apples do you have?",Addition Error,260,330
"John has 68 boxes, and each box contains 173 chocolates. How many chocolates does he have in total?",Multiplication Error,11764,11772
"There are 29 cookies, and they need to be divided equally among 93 friends. How many cookies does each friend get?",Division Error,0.311827956989247,0.44761034434092
"There are 146 apples. If you add 26 more apples, how many apples do you have?",Addition Error,172,217
"John has 45 boxes, and each box contains 92 chocolates. How many chocolates does he have in total?",Multiplication Error,4140,4149
"There are 193 balloons. If 25 balloons pop, how many balloons are left?",Subtraction Error,168,234
"There are 133 balloons. If 80 balloons pop, how many balloons are left?",Subtraction Error,53,63
"There are 170 cookies, and they need to be divided equally among 190 friends. How many cookies does each friend get?",Division Error,0.894736842105263,1.08096427569817
"There are 101 balloons. If 153 balloons pop, how many balloons are left?",Subtraction Error,-52,-19
"There are 59 cookies, and they need to be divided equally among 56 friends. How many cookies does each friend get?",Division Error,1.05357142857143,1.50057957967272
"John has 168 boxes, and each box contains 112 chocolates. How many chocolates does he have in total?",Multiplication Error,18816,18825
"There are 23 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,2.55555555555556,2.92018583240039
"There are 54 cookies, and they need to be divided equally among 83 friends. How many cookies does each friend get?",Division Error,0.650602409638554,1.46453456015892
"There are 94 balloons. If 23 balloons pop, how many balloons are left?",Subtraction Error,71,137
"John has 21 boxes, and each box contains 137 chocolates. How many chocolates does he have in total?",Multiplication Error,2877,2878
"John has 129 boxes, and each box contains 71 chocolates. How many chocolates does he have in total?",Multiplication Error,9159,9164
"John has 162 boxes, and each box contains 132 chocolates. How many chocolates does he have in total?",Multiplication Error,21384,21385
"There are 108 apples. If you add 180 more apples, how many apples do you have?",Addition Error,288,324
"There are 127 balloons. If 72 balloons pop, how many balloons are left?",Subtraction Error,55,148
"There are 81 balloons. If 67 balloons pop, how many balloons are left?",Subtraction Error,14,43
"There are 146 cookies, and they need to be divided equally among 52 friends. How many cookies does each friend get?",Division Error,2.80769230769231,3.65897032240594
"There are 53 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,10.6,11.1127028930193
"There are 166 apples. If you add 22 more apples, how many apples do you have?",Addition Error,188,205
"There are 164 cookies, and they need to be divided equally among 74 friends. How many cookies does each friend get?",Division Error,2.21621621621622,2.63892530983157
"There are 69 apples. If you add 140 more apples, how many apples do you have?",Addition Error,209,302
"There are 177 balloons. If 59 balloons pop, how many balloons are left?",Subtraction Error,118,169
"There are 164 apples. If you add 186 more apples, how many apples do you have?",Addition Error,350,382
"There are 130 apples. If you add 38 more apples, how many apples do you have?",Addition Error,168,252
"John has 25 boxes, and each box contains 93 chocolates. How many chocolates does he have in total?",Multiplication Error,2325,2334
"There are 9 cookies, and they need to be divided equally among 144 friends. How many cookies does each friend get?",Division Error,0.0625,0.919489065882588
"There are 43 cookies, and they need to be divided equally among 89 friends. How many cookies does each friend get?",Division Error,0.48314606741573,0.941529285950165
"There are 37 apples. If you add 13 more apples, how many apples do you have?",Addition Error,50,61
"John has 180 boxes, and each box contains 130 chocolates. How many chocolates does he have in total?",Multiplication Error,23400,23402
"John has 46 boxes, and each box contains 169 chocolates. How many chocolates does he have in total?",Multiplication Error,7774,7783
"There are 72 cookies, and they need to be divided equally among 109 friends. How many cookies does each friend get?",Division Error,0.660550458715596,0.790078766589056
"There are 159 apples. If you add 21 more apples, how many apples do you have?",Addition Error,180,213
"There are 157 apples. If you add 123 more apples, how many apples do you have?",Addition Error,280,293
"There are 102 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,11.3333333333333,12.1103920264507
"There are 75 cookies, and they need to be divided equally among 147 friends. How many cookies does each friend get?",Division Error,0.510204081632653,0.735200044368827
"John has 193 boxes, and each box contains 119 chocolates. How many chocolates does he have in total?",Multiplication Error,22967,22977
"John has 90 boxes, and each box contains 44 chocolates. How many chocolates does he have in total?",Multiplication Error,3960,3966
"There are 173 apples. If you add 55 more apples, how many apples do you have?",Addition Error,228,307
"There are 14 apples. If you add 68 more apples, how many apples do you have?",Addition Error,82,155
"There are 142 balloons. If 23 balloons pop, how many balloons are left?",Subtraction Error,119,134
"John has 115 boxes, and each box contains 121 chocolates. How many chocolates does he have in total?",Multiplication Error,13915,13921
"There are 14 balloons. If 80 balloons pop, how many balloons are left?",Subtraction Error,-66,-21
"There are 121 apples. If you add 115 more apples, how many apples do you have?",Addition Error,236,325
"There are 71 apples. If you add 183 more apples, how many apples do you have?",Addition Error,254,261
"John has 31 boxes, and each box contains 30 chocolates. How many chocolates does he have in total?",Multiplication Error,930,940
"There are 117 cookies, and they need to be divided equally among 156 friends. How many cookies does each friend get?",Division Error,0.75,1.20696217021471
"There are 162 balloons. If 26 balloons pop, how many balloons are left?",Subtraction Error,136,152
"There are 134 cookies, and they need to be divided equally among 35 friends. How many cookies does each friend get?",Division Error,3.82857142857143,4.65816553571377
"There are 149 cookies, and they need to be divided equally among 96 friends. How many cookies does each friend get?",Division Error,1.55208333333333,1.83848830083761
"John has 86 boxes, and each box contains 77 chocolates. How many chocolates does he have in total?",Multiplication Error,6622,6623
"John has 152 boxes, and each box contains 47 chocolates. How many chocolates does he have in total?",Multiplication Error,7144,7150
"There are 113 balloons. If 147 balloons pop, how many balloons are left?",Subtraction Error,-34,47
"There are 194 balloons. If 50 balloons pop, how many balloons are left?",Subtraction Error,144,166
"John has 49 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,490,492
"There are 128 cookies, and they need to be divided equally among 185 friends. How many cookies does each friend get?",Division Error,0.691891891891892,1.46477611743769
"John has 42 boxes, and each box contains 176 chocolates. How many chocolates does he have in total?",Multiplication Error,7392,7394
"There are 167 cookies, and they need to be divided equally among 50 friends. How many cookies does each friend get?",Division Error,3.34,4.00824853767068
"There are 59 cookies, and they need to be divided equally among 185 friends. How many cookies does each friend get?",Division Error,0.318918918918919,1.14903756674001
"There are 83 balloons. If 148 balloons pop, how many balloons are left?",Subtraction Error,-65,-42
"There are 38 apples. If you add 87 more apples, how many apples do you have?",Addition Error,125,153
"There are 80 balloons. If 35 balloons pop, how many balloons are left?",Subtraction Error,45,139
"John has 152 boxes, and each box contains 80 chocolates. How many chocolates does he have in total?",Multiplication Error,12160,12164
"There are 189 cookies, and they need to be divided equally among 187 friends. How many cookies does each friend get?",Division Error,1.01069518716578,1.36887042373657
"There are 52 balloons. If 190 balloons pop, how many balloons are left?",Subtraction Error,-138,-53
"There are 59 balloons. If 76 balloons pop, how many balloons are left?",Subtraction Error,-17,-15
"There are 45 balloons. If 197 balloons pop, how many balloons are left?",Subtraction Error,-152,-133
"There are 118 apples. If you add 186 more apples, how many apples do you have?",Addition Error,304,344
"John has 45 boxes, and each box contains 172 chocolates. How many chocolates does he have in total?",Multiplication Error,7740,7741
"John has 77 boxes, and each box contains 49 chocolates. How many chocolates does he have in total?",Multiplication Error,3773,3778
"There are 5 balloons. If 78 balloons pop, how many balloons are left?",Subtraction Error,-73,-56
"John has 118 boxes, and each box contains 144 chocolates. How many chocolates does he have in total?",Multiplication Error,16992,16997
"John has 123 boxes, and each box contains 76 chocolates. How many chocolates does he have in total?",Multiplication Error,9348,9356
"There are 194 balloons. If 76 balloons pop, how many balloons are left?",Subtraction Error,118,159
"There are 17 apples. If you add 17 more apples, how many apples do you have?",Addition Error,34,45
"There are 101 cookies, and they need to be divided equally among 82 friends. How many cookies does each friend get?",Division Error,1.23170731707317,1.84436503473481
"There are 172 balloons. If 47 balloons pop, how many balloons are left?",Subtraction Error,125,147
"There are 139 cookies, and they need to be divided equally among 36 friends. How many cookies does each friend get?",Division Error,3.86111111111111,4.10236533935703
"There are 26 balloons. If 109 balloons pop, how many balloons are left?",Subtraction Error,-83,-75
"John has 153 boxes, and each box contains 91 chocolates. How many chocolates does he have in total?",Multiplication Error,13923,13929
"John has 34 boxes, and each box contains 47 chocolates. How many chocolates does he have in total?",Multiplication Error,1598,1605
"There are 32 cookies, and they need to be divided equally among 73 friends. How many cookies does each friend get?",Division Error,0.438356164383562,0.600394105135184
"There are 128 balloons. If 194 balloons pop, how many balloons are left?",Subtraction Error,-66,-12
"There are 74 balloons. If 46 balloons pop, how many balloons are left?",Subtraction Error,28,87
"There are 47 cookies, and they need to be divided equally among 46 friends. How many cookies does each friend get?",Division Error,1.02173913043478,1.47507197116392
"There are 48 cookies, and they need to be divided equally among 100 friends. How many cookies does each friend get?",Division Error,0.48,0.872382824771834
"There are 12 apples. If you add 65 more apples, how many apples do you have?",Addition Error,77,82
"John has 117 boxes, and each box contains 184 chocolates. How many chocolates does he have in total?",Multiplication Error,21528,21532
"There are 129 cookies, and they need to be divided equally among 166 friends. How many cookies does each friend get?",Division Error,0.77710843373494,1.02167750758212
"There are 113 balloons. If 168 balloons pop, how many balloons are left?",Subtraction Error,-55,-28
"There are 126 cookies, and they need to be divided equally among 169 friends. How many cookies does each friend get?",Division Error,0.745562130177515,1.33249902912979
"There are 119 apples. If you add 42 more apples, how many apples do you have?",Addition Error,161,225
"John has 32 boxes, and each box contains 47 chocolates. How many chocolates does he have in total?",Multiplication Error,1504,1505
"There are 150 apples. If you add 40 more apples, how many apples do you have?",Addition Error,190,281
"There are 141 apples. If you add 108 more apples, how many apples do you have?",Addition Error,249,336
"There are 183 balloons. If 175 balloons pop, how many balloons are left?",Subtraction Error,8,108
"There are 22 balloons. If 113 balloons pop, how many balloons are left?",Subtraction Error,-91,-81
"There are 151 balloons. If 109 balloons pop, how many balloons are left?",Subtraction Error,42,100
"There are 19 cookies, and they need to be divided equally among 95 friends. How many cookies does each friend get?",Division Error,0.2,0.710548135213329
"There are 102 apples. If you add 30 more apples, how many apples do you have?",Addition Error,132,198
"John has 88 boxes, and each box contains 74 chocolates. How many chocolates does he have in total?",Multiplication Error,6512,6515
"John has 189 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,567,572
"John has 197 boxes, and each box contains 87 chocolates. How many chocolates does he have in total?",Multiplication Error,17139,17145
"There are 48 apples. If you add 198 more apples, how many apples do you have?",Addition Error,246,268
"There are 179 balloons. If 126 balloons pop, how many balloons are left?",Subtraction Error,53,106
"There are 125 cookies, and they need to be divided equally among 50 friends. How many cookies does each friend get?",Division Error,2.5,3.31453119579344
"There are 141 balloons. If 80 balloons pop, how many balloons are left?",Subtraction Error,61,114
"There are 147 apples. If you add 200 more apples, how many apples do you have?",Addition Error,347,356
"John has 93 boxes, and each box contains 143 chocolates. How many chocolates does he have in total?",Multiplication Error,13299,13306
"There are 107 balloons. If 132 balloons pop, how many balloons are left?",Subtraction Error,-25,13
"John has 93 boxes, and each box contains 95 chocolates. How many chocolates does he have in total?",Multiplication Error,8835,8845
"There are 22 cookies, and they need to be divided equally among 50 friends. How many cookies does each friend get?",Division Error,0.44,1.16006733079554
"There are 167 cookies, and they need to be divided equally among 197 friends. How many cookies does each friend get?",Division Error,0.847715736040609,1.39922401478488
"There are 84 cookies, and they need to be divided equally among 179 friends. How many cookies does each friend get?",Division Error,0.46927374301676,1.22606302366653
