,sQuestion,lSolutions,lEquations
809,"The second of three numbers is 8 more than the first and the third number is 3 less than 3 times the first . If the third number is 15 more than the second , find the three numbers .","[13.0, 36.0, 21.0]","['y=8.0+x', 'z+3.0=3.0*x', 'z-15.0=y']"
810,The difference of two numbers is 48 . The second is 8 less than 5 times the first . What are the two numbers .,"[-10.0, -58.0]","['x-y=48.0', 'y=5.0*x-8.0']"
811,"the sum of the two digit number is 7 , when you reversed the number it was increased by 27 . what is the original number ?","[25.0, 5.0, 2.0]","['n=10.0*a+b', 'a+b=7.0', '10.0*b+a=27.0+n']"
812,"The sum of the digits of a two digit number is 9 . If the digits are reversed , the number is increased by 45 . Find the original number .","[27.0, 2.0, 7.0]","['m=10.0*x+y', 'x+y=9.0', '10.0*y+x=45.0+m']"
813,I think of a number . I multiply the number by 5 and minus 60 . I end up with the number i started with.What is my number ?,[15.0],['5.0*n-60.0=n']
814,find a number whose product with 6 is the same as its sum with 45 .,[9.0],['6.0*n=45.0+n']
815,Frida is thinking of number . She adds 15 to her number and finds that the result is 4 times her number . What is her number ?,[5.0],['n+15.0=4.0*n']
816,Six more than a number is 3 times the number . What is the number ?,[3.0],['n+6.0=3.0*n']
817,what is the sum of the first 100 even numbers,"[10100.0, 200.0]","['b=2.0+2*100.0-2*1.0', 's = 100 * 0.5 * b + 100']"
818,The sum of three consecutive integers is negative 72 . Find the numbers,[-25.0],['n+(n+1.0)+(n+2.0)=-72.0']
819,"120 = 100 times M divided by 10 , what is the value of M ?",[12.0],['120.0 * 10 =100.0 * m']
820,12 is 0.75 of what number ?,[16.0],['12.0=0.75*n']
821,60 is 140 % of what number ?,[42.8571428571],['60.0=140.0*0.01*x']
822,"The quotient of a number and -7 , decreased by 2 , is 10 . Find the number .",[-84.0],['n = (-7.0) * 10.0 + (-7.0) * 2.0']
823,Nine less than the quotient of a number and 3 is 18 . Find the number .,[81.0],['n =3.0 * 18.0 + 3.0 * 9.0']
824,What number is 17 % of 200 .,[34.0],['n=17.0*0.01*200.0']
825,a number when increased by 40 % becomes 42 . what is the number ?,[30.0],['(1.0+40.0*0.01)*n=42.0']
826,what number increased by 30 % equals 490 ?,[376.923076923],['(1.0+30.0*0.01)*n=490.0']
827,the sum of 6 times a number -LRB- N -RRB- and -LRB- 4 -RRB- is -30 . what is the number ?,[-5.66666666667],['6.0*n+4.0=-30.0']
828,"What is the sum of the arithmetic sequence 174 , 168 , 162 , if there are 37 terms ?","[2442.0, -42.0, -6.0]","['d=168.0-174.0', 'b=174.0+(37.0-1.0)*d', 's=174.0*37.0*0.5 + 37.0*0.5 *b']"
829,"if 7 is added to a quarter of a certain number , the answer is 10 . what is the number ?",[12.0],['7.0+0.25*x=10.0']
830,Find the 3 consecutive integers with the sum of 267 .,"[88.0, 90.0, 89.0]","['x+1.0=y', 'y+1.0=z', 'x+y+z=267.0']"
