Problem,Error Type,Correct Answer,Incorrect Answer
"There are 20 apples. If you add 10 more apples, how many apples do you have?",Addition Error,30,31
"There are 20 apples. If you add 7 more apples, how many apples do you have?",Addition Error,27,29
"There are 18 apples. If you add 9 more apples, how many apples do you have?",Addition Error,27,32
"John has 2 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,18,25
"There are 7 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,0,4
"John has 17 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,34,40
"There are 2 apples. If you add 7 more apples, how many apples do you have?",Addition Error,9,16
"There are 13 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,13,13.298939178563
"There are 8 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-2,3
"John has 3 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,12,14
"John has 20 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,120,126
"John has 20 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,160,170
"John has 12 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,120,123
"There are 4 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-3,4
"There are 13 apples. If you add 9 more apples, how many apples do you have?",Addition Error,22,27
"There are 8 apples. If you add 7 more apples, how many apples do you have?",Addition Error,15,25
"There are 8 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-1,5
"John has 7 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,21,25
"John has 14 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,98,103
"John has 4 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,24,26
"There are 6 apples. If you add 9 more apples, how many apples do you have?",Addition Error,15,16
"There are 18 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,9,10
"John has 13 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,26,35
"There are 8 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-2,-1
"There are 15 apples. If you add 2 more apples, how many apples do you have?",Addition Error,17,26
"There are 3 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,-1,4
"There are 12 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,4,13
"There are 15 apples. If you add 6 more apples, how many apples do you have?",Addition Error,21,29
"John has 16 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,128,133
"There are 10 apples. If you add 8 more apples, how many apples do you have?",Addition Error,18,19
"John has 8 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,24,27
"John has 4 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,20,28
"There are 20 apples. If you add 10 more apples, how many apples do you have?",Addition Error,30,33
"There are 20 apples. If you add 3 more apples, how many apples do you have?",Addition Error,23,26
"John has 13 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,52,57
"There are 3 apples. If you add 7 more apples, how many apples do you have?",Addition Error,10,11
"There are 7 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.7,1.53484193570482
"John has 3 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,24,29
"There are 12 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,2.4,2.64366786932644
"There are 11 apples. If you add 5 more apples, how many apples do you have?",Addition Error,16,25
"There are 20 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,18,28
"There are 10 apples. If you add 10 more apples, how many apples do you have?",Addition Error,20,26
"John has 1 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,1,11
"There are 5 apples. If you add 3 more apples, how many apples do you have?",Addition Error,8,18
"There are 18 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,10,11
"John has 8 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,48,52
"There are 9 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,5,10
"John has 1 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,4,10
"There are 15 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,12,22
"There are 17 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,2.83333333333333,3.04026350982343
"John has 6 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,24,32
"There are 15 apples. If you add 7 more apples, how many apples do you have?",Addition Error,22,23
"John has 1 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,5,10
"John has 9 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,90,97
"John has 15 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,30,31
"There are 20 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,2.22222222222222,2.84958836966579
"There are 5 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1,1.29715138633679
"There are 13 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,6.5,7.13656321356994
"There are 3 apples. If you add 1 more apples, how many apples do you have?",Addition Error,4,9
"There are 7 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,2,6
"There are 18 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,6,6.53624083410151
"John has 8 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,56,59
"There are 14 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,6,7
"John has 11 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,88,93
"There are 13 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.44444444444444,2.33360070213776
"John has 14 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,112,122
"There are 12 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,10,13
"There are 16 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,11,17
"There are 19 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,6.33333333333333,6.69911897613639
"There are 19 apples. If you add 2 more apples, how many apples do you have?",Addition Error,21,22
"There are 4 apples. If you add 6 more apples, how many apples do you have?",Addition Error,10,17
"John has 11 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,11,13
"There are 18 apples. If you add 6 more apples, how many apples do you have?",Addition Error,24,26
"There are 17 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,2.125,3.00529577685794
"There are 14 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.75,2.21181062200116
"John has 17 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,17,20
"There are 17 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,14,15
"John has 16 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,128,132
"John has 20 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,200,210
"John has 13 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,39,49
"There are 20 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,14,24
"John has 7 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,42,47
"There are 19 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,3.16666666666667,3.9502093338043
"There are 15 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,12,20
"There are 6 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,-4,-2
"There are 7 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,3,13
"There are 6 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,4,14
"John has 3 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,9,10
"There are 15 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,9,14
"John has 6 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,24,34
"There are 6 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,1.2,1.89968627199448
"There are 7 apples. If you add 6 more apples, how many apples do you have?",Addition Error,13,19
"There are 5 apples. If you add 4 more apples, how many apples do you have?",Addition Error,9,15
"There are 6 apples. If you add 2 more apples, how many apples do you have?",Addition Error,8,16
"There are 19 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,12,18
"John has 5 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,5,13
"John has 14 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,140,143
"There are 10 apples. If you add 5 more apples, how many apples do you have?",Addition Error,15,22
"John has 1 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,6,13
"John has 6 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,60,64
"There are 4 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,2,2.69297412739932
"There are 9 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,5,15
"There are 10 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,2,10
"John has 18 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,162,163
"There are 13 apples. If you add 9 more apples, how many apples do you have?",Addition Error,22,23
"John has 10 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,90,92
"John has 8 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,16,17
"There are 9 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,2.25,2.47063510284856
"There are 6 apples. If you add 3 more apples, how many apples do you have?",Addition Error,9,19
"There are 1 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-7,-1
"John has 16 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,96,100
"John has 5 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,40,44
"There are 6 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,2,7
"There are 4 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,1,3
"John has 8 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,40,42
"There are 9 apples. If you add 5 more apples, how many apples do you have?",Addition Error,14,20
"John has 19 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,57,62
"There are 8 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,8,8.53379713778014
"There are 11 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.22222222222222,2.11566650414242
"There are 16 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,6,13
"There are 11 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,10,17
"There are 4 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,0.8,0.996414876166916
"There are 12 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,3,3.23285012208083
"There are 17 apples. If you add 1 more apples, how many apples do you have?",Addition Error,18,24
"There are 2 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,0,2
"There are 8 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,-1,9
"There are 10 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.25,1.52331314870095
"There are 2 apples. If you add 4 more apples, how many apples do you have?",Addition Error,6,16
"There are 13 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,6.5,6.80048623440549
"There are 13 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,2.6,3.25927861581046
"There are 10 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,2,3
"John has 3 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,30,40
"There are 12 apples. If you add 8 more apples, how many apples do you have?",Addition Error,20,30
"There are 3 apples. If you add 2 more apples, how many apples do you have?",Addition Error,5,10
"There are 5 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,5,5.15428639442156
"There are 2 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,-4,0
"There are 17 apples. If you add 9 more apples, how many apples do you have?",Addition Error,26,27
"There are 18 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.57142857142857,2.77623984780739
"There are 13 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,9,11
"There are 1 apples. If you add 3 more apples, how many apples do you have?",Addition Error,4,13
"There are 7 apples. If you add 6 more apples, how many apples do you have?",Addition Error,13,15
"There are 4 apples. If you add 7 more apples, how many apples do you have?",Addition Error,11,19
"John has 5 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,20,28
"John has 1 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,3,9
"There are 8 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,1,8
"There are 2 apples. If you add 4 more apples, how many apples do you have?",Addition Error,6,15
"There are 19 apples. If you add 8 more apples, how many apples do you have?",Addition Error,27,37
"John has 16 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,112,119
"There are 18 apples. If you add 5 more apples, how many apples do you have?",Addition Error,23,26
"There are 17 apples. If you add 7 more apples, how many apples do you have?",Addition Error,24,30
"John has 7 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,35,44
"John has 14 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,56,62
"There are 12 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,2,8
"There are 19 apples. If you add 8 more apples, how many apples do you have?",Addition Error,27,28
"There are 20 apples. If you add 9 more apples, how many apples do you have?",Addition Error,29,35
"There are 8 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.14285714285714,1.70664914432087
"John has 7 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,7,8
"John has 9 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,90,95
"There are 10 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.25,1.47171338900984
"John has 18 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,18,20
"There are 10 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,5,12
"There are 14 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.4,2.14771470776115
"There are 4 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.4,0.595272066149207
"There are 5 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,3,5
"There are 10 apples. If you add 1 more apples, how many apples do you have?",Addition Error,11,21
"There are 14 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,2.33333333333333,2.75391567085968
"There are 7 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,0,5
"There are 16 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,10,14
"There are 2 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,0.285714285714286,0.656763606183617
"There are 3 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-5,5
"John has 8 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,16,23
"There are 8 apples. If you add 1 more apples, how many apples do you have?",Addition Error,9,15
"There are 5 apples. If you add 6 more apples, how many apples do you have?",Addition Error,11,18
"John has 6 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,12,16
"John has 5 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,30,31
"John has 18 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,90,94
"John has 5 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,20,25
"There are 6 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,0.75,0.997124234308269
"There are 18 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,3,3.38583123532854
"John has 6 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,12,13
"There are 18 apples. If you add 4 more apples, how many apples do you have?",Addition Error,22,27
"John has 5 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,15,24
"John has 16 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,112,116
"There are 9 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,1.28571428571429,1.64917266900138
"There are 12 apples. If you add 9 more apples, how many apples do you have?",Addition Error,21,30
"There are 6 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,2,2.53432921839347
"There are 8 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,0.888888888888889,1.6443010784519
"There are 3 apples. If you add 4 more apples, how many apples do you have?",Addition Error,7,13
"John has 15 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,90,93
"There are 14 apples. If you add 8 more apples, how many apples do you have?",Addition Error,22,26
"There are 5 cookies, and they need to be divided equally among 1 friends. How many cookies does each friend get?",Division Error,5,5.22979000092524
"There are 3 apples. If you add 7 more apples, how many apples do you have?",Addition Error,10,18
"There are 7 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,6,13
"There are 14 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,13,16
"There are 2 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-5,-4
"There are 2 apples. If you add 4 more apples, how many apples do you have?",Addition Error,6,12
"There are 9 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,1,5
"There are 11 apples. If you add 6 more apples, how many apples do you have?",Addition Error,17,20
"There are 7 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,6,16
"There are 5 apples. If you add 5 more apples, how many apples do you have?",Addition Error,10,18
"John has 19 boxes, and each box contains 2 chocolates. How many chocolates does he have in total?",Multiplication Error,38,40
"There are 20 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,6.66666666666667,6.78118818699148
"There are 2 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,0,6
"There are 12 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,9,18
"There are 20 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,14,15
"There are 7 apples. If you add 4 more apples, how many apples do you have?",Addition Error,11,12
"There are 13 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.3,1.70259325320518
"There are 10 cookies, and they need to be divided equally among 3 friends. How many cookies does each friend get?",Division Error,3.33333333333333,3.61643863454948
"There are 7 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,1.75,2.36342442973416
"There are 20 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,14,23
"There are 6 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-2,6
"John has 20 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,200,204
"There are 12 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1.33333333333333,2.20041232840115
"There are 11 apples. If you add 4 more apples, how many apples do you have?",Addition Error,15,21
"There are 6 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-2,4
"There are 1 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,-4,2
"There are 11 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,3,4
"There are 19 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.9,2.51211598850405
"There are 18 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.57142857142857,3.34754617426909
"There are 16 apples. If you add 10 more apples, how many apples do you have?",Addition Error,26,35
"There are 16 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,3.2,3.64335874554029
"There are 20 apples. If you add 7 more apples, how many apples do you have?",Addition Error,27,29
"There are 11 apples. If you add 4 more apples, how many apples do you have?",Addition Error,15,22
"There are 1 apples. If you add 4 more apples, how many apples do you have?",Addition Error,5,12
"John has 13 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,13,14
"John has 20 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,80,83
"John has 18 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,162,165
"There are 7 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,5,9
"There are 6 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,3,3.45576971895732
"There are 16 apples. If you add 5 more apples, how many apples do you have?",Addition Error,21,22
"John has 13 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,91,93
"There are 8 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,1.33333333333333,1.58710593666193
"There are 14 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,10,13
"There are 11 balloons. If 10 balloons pop, how many balloons are left?",Subtraction Error,1,8
"There are 19 apples. If you add 6 more apples, how many apples do you have?",Addition Error,25,27
"There are 16 apples. If you add 8 more apples, how many apples do you have?",Addition Error,24,33
"John has 19 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,152,153
"There are 5 balloons. If 8 balloons pop, how many balloons are left?",Subtraction Error,-3,1
"There are 10 balloons. If 9 balloons pop, how many balloons are left?",Subtraction Error,1,7
"John has 2 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,14,16
"There are 20 cookies, and they need to be divided equally among 5 friends. How many cookies does each friend get?",Division Error,4,4.12419767140303
"There are 19 cookies, and they need to be divided equally among 2 friends. How many cookies does each friend get?",Division Error,9.5,10.3294285978108
"John has 12 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,96,101
"John has 14 boxes, and each box contains 9 chocolates. How many chocolates does he have in total?",Multiplication Error,126,132
"There are 12 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,1.5,2.05301144390374
"John has 18 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,144,148
"John has 5 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,15,24
"There are 9 cookies, and they need to be divided equally among 9 friends. How many cookies does each friend get?",Division Error,1,1.86848225975648
"There are 5 apples. If you add 3 more apples, how many apples do you have?",Addition Error,8,13
"John has 13 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,13,16
"John has 4 boxes, and each box contains 5 chocolates. How many chocolates does he have in total?",Multiplication Error,20,25
"There are 15 cookies, and they need to be divided equally among 6 friends. How many cookies does each friend get?",Division Error,2.5,3.32467044422538
"There are 8 apples. If you add 7 more apples, how many apples do you have?",Addition Error,15,24
"There are 17 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,11,15
"There are 2 apples. If you add 2 more apples, how many apples do you have?",Addition Error,4,11
"John has 16 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,64,67
"There are 5 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,-1,6
"John has 20 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,200,207
"There are 14 apples. If you add 1 more apples, how many apples do you have?",Addition Error,15,20
"There are 14 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,1.4,2.16320872888927
"There are 17 balloons. If 4 balloons pop, how many balloons are left?",Subtraction Error,13,21
"John has 7 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,70,71
"There are 15 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,8,13
"There are 13 balloons. If 6 balloons pop, how many balloons are left?",Subtraction Error,7,10
"There are 7 apples. If you add 7 more apples, how many apples do you have?",Addition Error,14,16
"John has 19 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,76,77
"There are 8 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.8,1.22024149051388
"There are 10 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,9,10
"John has 16 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,96,98
"There are 16 apples. If you add 3 more apples, how many apples do you have?",Addition Error,19,26
"There are 20 apples. If you add 1 more apples, how many apples do you have?",Addition Error,21,29
"John has 10 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,30,39
"There are 10 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,2.5,2.74259784778068
"There are 6 apples. If you add 4 more apples, how many apples do you have?",Addition Error,10,15
"John has 2 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,14,15
"There are 10 apples. If you add 7 more apples, how many apples do you have?",Addition Error,17,19
"John has 1 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,4,8
"John has 19 boxes, and each box contains 1 chocolates. How many chocolates does he have in total?",Multiplication Error,19,25
"There are 18 balloons. If 1 balloons pop, how many balloons are left?",Subtraction Error,17,27
